node_type_id nsyn_size_mean population dynamics_params model_type nsyn_size_scale pop_name location nsyn_size_shape model_id model_template ei
501023852 2322 v1l4 501023852_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566570502 nest:glif_psc e
323838579 2322 v1l4 323838579_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566299577 nest:glif_psc e
500964358 2322 v1l4 500964358_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566579924 nest:glif_psc e
395785266 2322 v1l4 395785266_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566314373 nest:glif_psc e
476266853 2322 v1l4 476266853_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566330591 nest:glif_psc e
320207387 2322 v1l4 320207387_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566297026 nest:glif_psc e
517647182 2322 v1l4 517647182_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566620822 nest:glif_psc e
325464516 2322 v1l4 325464516_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566305755 nest:glif_psc e
476218657 2322 v1l4 476218657_glif_lif_asc_config.json point_process 2188.765 "('4', 'Scnn1a')" VISp4 0.345 566329940 nest:glif_psc e
322723785 2322 v1l4 322723785_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566297752 nest:glif_psc e
478586425 2322 v1l4 478586425_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566380630 nest:glif_psc e
329557305 2322 v1l4 329557305_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566304465 nest:glif_psc e
500859045 2322 v1l4 500859045_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566567858 nest:glif_psc e
479179020 2322 v1l4 479179020_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 497548728 nest:glif_psc e
324065524 2322 v1l4 324065524_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566304278 nest:glif_psc e
322761772 2322 v1l4 322761772_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 496894069 nest:glif_psc e
467357834 2322 v1l4 467357834_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566311880 nest:glif_psc e
329550277 2322 v1l4 329550277_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 496949295 nest:glif_psc e
476562817 2322 v1l4 476562817_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566332823 nest:glif_psc e
466378900 2322 v1l4 466378900_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566310968 nest:glif_psc e
486472847 2322 v1l4 486472847_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 500984330 nest:glif_psc e
480648382 2322 v1l4 480648382_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 500827836 nest:glif_psc e
490626827 2322 v1l4 490626827_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 501150279 nest:glif_psc e
479508018 2322 v1l4 479508018_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 497614572 nest:glif_psc e
490626718 2322 v1l4 490626718_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 501479576 nest:glif_psc e
484770879 2322 v1l4 484770879_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 500944400 nest:glif_psc e
500894271 2322 v1l4 500894271_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566579552 nest:glif_psc e
485836906 2322 v1l4 485836906_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 501472487 nest:glif_psc e
480124551 2322 v1l4 480124551_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 500824719 nest:glif_psc e
469763389 2322 v1l4 469763389_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566309561 nest:glif_psc e
473020156 2322 v1l4 473020156_glif_lif_asc_config.json point_process 2188.765 "('4', 'Rorb')" VISp4 0.345 566324902 nest:glif_psc e
